,session1,session2,session3,session4,session5,session6,session7,session8,session9,session10,session11,session12,session13,session14,session15,session16,session17,session18,session19,session20,session21,session22,session23,session24
出席,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
,,,,,,,, ,,,,,,,,,,,,,,,,
switching_1_1,,N,100%,N,100%,100%,,,,,,,,,,,,,,,,,,
switching_1_2,,N,100%,N,100%,100%,,,,,,,,,,,,,,,,,,
switching_1_3,,N,100%,N,100%,100%,,,,,,,,,,,,,,,,,,
switching_1_4,,N,100%,N,100%,100%,,,,,,,,,,,,,,,,,,
switching_1_5,,N,100%,N,100%,100%,,,,,,,,,,,,,,,,,,
switching_1_總分,,N,100%,N,100%,100%,,,,,,,,,,,,,,,,,,
switching_2_1,,,,,,,,100%,,,80%,90%,,,,,,,,,,,,
switching_2_2,,,,,,,,70%,,,70%,70%,,,,,,,,,,,,
switching_2_3,,,,,,,,90%,,,80%,90%,,,,,,,,,,,,
switching_2_4,,,,,,,,90%,,,90%,85%,,,,,,,,,,,,
switching_2_5,,,,,,,,90%,,,90%,90%,,,,,,,,,,,,
switching_2_總分,,,,,,,,89%,,,84%,86%,,,,,,,,,,,,
switching_3_1,,,,,,,,,,,,,,100%,100%,,90%,,,,,,,
switching_3_2,,,,,,,,,,,,,,80%,80%,,90%,,,,,,,
switching_3_3,,,,,,,,,,,,,,90%,90%,,90%,,,,,,,
switching_3_4,,,,,,,,,,,,,,100%,100%,,100%,,,,,,,
switching_3_5,,,,,,,,,,,,,,90%,90%,,95%,,,,,,,
switching_3_總分,,,,,,,,,,,,,,93%,93%,,94%,,,,,,,
switching_4_1,,,,,,,,,,,,,,,,,,100%,,80%,100%,,,
switching_4_2,,,,,,,,,,,,,,,,,,100%,,100%,100%,,,
switching_4_3,,,,,,,,,,,,,,,,,,90%,,90%,100%,,,
switching_4_4,,,,,,,,,,,,,,,,,,100%,,90%,95%,,,
switching_4_5,,,,,,,,,,,,,,,,,,98%,,98%,92%,,,
switching_4_總分,,,,,,,,,,,,,,,,,,98%,,94%,95%,,,
switching_5_1,,,,,,,,,,,,,,,,,,,,,,,50%,
switching_5_2,,,,,,,,,,,,,,,,,,,,,,,80%,
switching_5_3,,,,,,,,,,,,,,,,,,,,,,,60%,
switching_5_4,,,,,,,,,,,,,,,,,,,,,,,75%,
switching_5_5,,,,,,,,,,,,,,,,,,,,,,,96%,
switching_5_總分,,,,,,,,,,,,,,,,,,,,,,,82%,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
inhibtion_1_1,100%,,100%,N,90%,,,,,,,,,,,,,,,,,,,
inhibtion_1_2,100%,,100%,N,100%,,,,,,,,,,,,,,,,,,,
inhibtion_1_3,100%,,100%,N,100%,,,,,,,,,,,,,,,,,,,
inhibtion_1_4,100%,,100%,N,100%,,,,,,,,,,,,,,,,,,,
inhibtion_1_5,100%,,100%,N,100%,,,,,,,,,,,,,,,,,,,
inhibtion_1_總分,100%,,100%,N,99%,,,,,,,,,,,,,,,,,,,
inhibition_2_1,,,,,,,100%,,100%,100%,,,,,,,,,,,,,,
inhibition_2_2,,,,,,,100%,,100%,100%,,,,,,,,,,,,,,
inhibition_2_3,,,,,,,100%,,100%,100%,,,,,,,,,,,,,,
inhibition_2_4,,,,,,,100%,,100%,100%,,,,,,,,,,,,,,
inhibition_2_5,,,,,,,100%,,100%,100%,,,,,,,,,,,,,,
inhibition_2_總分,,,,,,,100%,,100%,100%,,,,,,,,,,,,,,
inhibition_3_1,,,,,,,,,,,,100%,100%,,100%,,,,,,,,,
inhibition_3_2,,,,,,,,,,,,80%,100%,,100%,,,,,,,,,
inhibition_3_3,,,,,,,,,,,,199%,100%,,100%,,,,,,,,,
inhibition_3_4,,,,,,,,,,,,100%,100%,,100%,,,,,,,,,
inhibition_3_5,,,,,,,,,,,,98%,100%,,100%,,,,,,,,,
inhibition_3_總分,,,,,,,,,,,,97%,100%,,100%,,,,,,,,,
inhibition_4_1,,,,,,,,,,,,,,,,100%,,100%,100%,,,,,
inhibition_4_2,,,,,,,,,,,,,,,,100%,,100%,100%,,,,,
inhibition_4_3,,,,,,,,,,,,,,,,100%,,100%,100%,,,,,
inhibition_4_4,,,,,,,,,,,,,,,,100%,,100%,100%,,,,,
inhibition_4_5,,,,,,,,,,,,,,,,100%,,100%,99%,,,,,
inhibition_4_總分,,,,,,,,,,,,,,,,100%,,100%,99%,,,,,
inhibition_5_1,,,,,,,,,,,,,,,,,,,,,100%,100%,,
inhibition_5_2,,,,,,,,,,,,,,,,,,,,,90%,90%,,
inhibition_5_3,,,,,,,,,,,,,,,,,,,,,100%,90%,,
inhibition_5_4,,,,,,,,,,,,,,,,,,,,,95%,90%,,
inhibition_5_5,,,,,,,,,,,,,,,,,,,,,90%,91%,,
inhibition_5_總分,,,,,,,,,,,,,,,,,,,,,92%,92%,,
inhibition_6_1,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_2,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_3,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_4,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_5,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_總分,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
n-back_1_1,100%,N,,,,100%,100%,,,,,,,,,,,,,,,,,
n-back_1_2,100%,N,,,,100%,100%,,,,,,,,,,,,,,,,,
n-back_1_3,100%,N,,,,100%,100%,,,,,,,,,,,,,,,,,
n-back_1_總分,100%,N,,,,100%,100%,,,,,,,,,,,,,,,,,
n-back_2_1,,,,,,,,100%,100%,100%,,,,,,,,,,,,,,
n-back_2_2,,,,,,,,91%,98%,100%,,,,,,,,,,,,,,
n-back_2_3,,,,,,,,97%,97%,100%,,,,,,,,,,,,,,
n-back_2_總分,,,,,,,,96%,98%,100%,,,,,,,,,,,,,,
n-back_3_1,,,,,,,,,,,100%,,100%,100%,,,,,,,,,,
n-back_3_2,,,,,,,,,,,73%,,72%,95%,,,,,,,,,,
n-back_3_3,,,,,,,,,,,89%,,79%,93%,,,,,,,,,,
n-back_3_總分,,,,,,,,,,,87%,,84%,94%,,,,,,,,,,
n-back_4_1,,,,,,,,,,,,,,,,99%,94%,,100%,,,,,
n-back_4_2,,,,,,,,,,,,,,,,96%,100%,,100%,,,,,
n-back_4_3,,,,,,,,,,,,,,,,89%,96%,,99%,,,,,
n-back_4_總分,,,,,,,,,,,,,,,,95%,97%,,99%,,,,,
n-back_5_1,,,,,,,,,,,,,,,,,,,,96%,,98%,96%,
n-back_5_2,,,,,,,,,,,,,,,,,,,,94%,,92%,90%,
n-back_5_3,,,,,,,,,,,,,,,,,,,,81%,,95%,95%,
n-back_5_總分,,,,,,,,,,,,,,,,,,,,90%,,95%,94%,
n-back_6_1,,,,,,,,,,,,,,,,,,,,,, ,,
n-back_6_2,,,,,,,,,,,,,,,,,,,,,,,,
n-back_6_3,,,,,,,,,,,,,,,,,,,,,,,,
n-back_6_總分,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
memory_word_3,,,,,,,100%,96%,,,,,,,,,,,,,,,,
memory_word_2,,,,,,,,,100%,100%,,,,,,,,,,,,,,
memory_word_6,,,,,,,,,,,100%,96%,,,,,,,,,,,,
