Session,Task,401,402,403,404,405,406,407,408,S025,S026,S028,S030,S055,S058,S059,S061,S065,S067,S069,401Tag,402Tag,403Tag,404Tag,405Tag,406Tag,407Tag,408Tag,S025Tag,S026Tag,S028Tag,S030Tag,S055Tag,S058Tag,S059Tag,S061Tag,S065Tag,S067Tag,S069Tag,Tag
1,NB,1,1,1,1,1,1,0.99,0.99,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2,NB,1,0.99,1,1,1,,0.99,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
3,NB,1,1,1,1,1,1,1,1,0.97,0.96,0.97,0.96,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4,NB,1,0.94,0.99,0.99,0.97,0.93,0.99,1,1,1,1,0.92,0.99,0.98,1,0.97,0.99,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
5,NB,0.99,0.96,,0.99,1,0.99,0.99,1,0.99,0.97,0.99,0.91,1,1,1,1,0.84,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
6,NB,1,0.94,1,0.99,1,1,1,0.99,0.96,0.93,0.93,0.96,,1,0.97,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
7,NB,,0.57,0.86,0.87,0.68,0.88,,0.72,0.69,0.79,0.72,0.62,,0.85,,0.86,0.82,0.87,0.84,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,
8,NB,,0.67,0.87,0.91,,0.86,0.93,0.84,0.65,0.77,0.91,0.74,,0.84,0.83,0.85,0.84,0.84,0.82,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,
9,NB,0.82,0.64,0.82,0.96,0.77,0.96,0.96,0.96,0.66,0.78,0.83,0.69,0.89,0.88,0.88,0.88,0.83,0.9,0.86,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,
10,NB,0.78,0.64,0.88,0.94,0.71,,0.95,0.83,0.82,0.85,0.9,0.8,0.79,0.87,0.93,,0.9,0.85,0.98,3,3,4,4,3,4,3,4,3,3,3,3,4,4,3,4,4,4,4,
11,NB,0.85,0.77,0.87,0.9,0.78,0.96,0.99,0.89,0.79,0.87,0.8,0.71,0.91,0.91,0.97,0.91,,,0.97,3,3,4,4,3,4,3,4,3,3,3,3,4,4,3,4,4,4,4,
12,NB,0.94,0.72,0.85,0.94,0.81,0.93,0.89,0.88,0.74,0.83,,0.68,0.95,0.9,0.96,0.9,,0.87,1,4,3,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,4,4,
13,NB,0.77,0.79,0.86,0.9,0.86,0.92,0.9,0.88,0.76,0.84,0.89,0.63,0.87,0.9,,0.94,,0.86,0.91,4,3,5,5,3,4,4,5,3,4,4,3,5,5,,4,4,4,5,
14,NB,0.9,0.79,0.91,0.93,0.89,0.81,0.89,0.85,0.85,0.86,0.88,0.63,0.91,0.93,,0.92,,0.93,0.98,4,4,5,5,4,5,4,5,3,4,4,3,5,5,,5,4,5,5,
15,NB,0.8,0.78,,0.9,0.94,0.88,0.88,0.82,0.83,0.94,0.84,0.68,0.87,0.89,,0.92,0.8,0.94,0.87,5,4,5,5,4,5,5,5,3,4,4,3,5,5,,5,4,5,5,
16,NB,0.81,0.78,0.86,0.86,0.89,0.83,0.83,0.72,0.78,0.85,0.95,0.68,0.86,0.89,,0.88,0.86,0.93,0.81,5,4,5,6,4,5,5,5,4,5,5,3,6,6,,5,4,5,6,
17,NB,,,,,,,,,0.85,0.77,0.93,0.73,,,,,,,,,,,,,,,,4,5,5,3,,,,,,,,
1,S,0.91,0.97,0.99,1,1,,0.93,0.97,0.99,1,1,0.97,0.91,0.99,1,0.77,0.9,0.96,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2,S,0.97,1,0.97,0.99,1,0.99,0.99,1,0.93,1,1,0.97,1,1,0.99,1,0.99,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
3,S,1,0.99,1,1,1,0.99,0.99,1,0.6,0.8,0.81,0.53,1,1,0.99,1,0.99,0.99,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,
4,S,0.63,0.7,0.87,0.74,0.84,0.8,0.76,0.77,0.66,0.81,0.83,0.69,0.9,0.83,0.89,0.8,0.74,0.71,0.81,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
5,S,0.71,0.67,0.83,0.8,0.76,0.83,0.86,0.83,0.87,0.87,0.79,0.7,,0.86,0.91,0.74,0.69,0.8,0.87,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
6,S,0.64,0.77,,0.79,0.83,0.9,0.89,0.81,0.8,0.86,0.8,0.69,,0.94,0.89,0.8,0.67,0.83,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
7,S,,0.84,0.83,0.86,,0.81,0.86,0.84,0.64,0.91,0.87,0.64,,0.9,0.87,0.77,0.76,0.77,0.84,2,2,2,2,3,2,2,2,3,3,3,2,2,3,3,2,2,2,3,
8,S,0.7,,0.93,0.87,0.77,0.94,0.9,0.9,0.71,0.94,0.96,0.71,0.83,0.8,0.97,,0.77,0.8,0.79,2,3,3,2,3,3,3,3,3,3,3,2,2,3,3,2,2,2,3,
9,S,0.66,0.77,0.87,0.64,0.8,,0.94,0.91,0.89,0.97,0.92,0.84,0.93,0.93,0.94,,0.8,0.81,0.91,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,3,
10,S,0.74,0.84,0.96,0.77,0.89,0.91,0.93,0.9,0.84,0.96,0.95,0.74,0.94,0.91,0.96,0.7,0.73,0.79,0.93,2,3,3,3,3,3,3,3,3,3,3,2,3,4,4,2,2,2,4,
11,S,0.66,0.85,0.92,0.77,0.87,0.96,0.93,0.9,0.89,0.98,0.91,0.91,0.93,0.95,0.94,0.7,,0.87,0.89,2,3,4,3,4,3,3,4,3,3,4,2,3,4,4,2,2,2,4,
12,S,0.7,0.89,0.91,0.83,0.91,0.91,0.87,0.87,0.82,0.99,0.97,0.86,0.91,0.93,0.95,0.79,,0.59,0.9,2,4,4,3,4,4,4,4,4,4,4,3,4,4,4,2,2,3,4,
13,S,0.67,0.87,0.94,0.95,0.94,0.81,0.86,0.87,0.89,0.94,0.95,0.93,0.96,0.83,,0.81,,0.67,0.81,2,4,4,4,4,4,4,4,4,4,4,3,4,5,,2,2,3,5,
14,S,0.54,0.82,0.85,0.96,0.78,0.95,0.87,0.81,0.94,0.99,0.91,0.93,0.95,0.85,,0.84,0.7,0.86,0.89,2,4,5,4,5,4,4,5,4,4,5,3,4,5,,2,2,3,5,
15,S,0.71,0.75,0.89,0.96,0.85,0.89,0.89,0.87,0.77,0.96,0.91,0.93,0.9,0.9,,0.6,0.83,0.94,0.82,2,5,5,4,5,5,5,5,5,5,5,4,4,5,,3,2,3,5,
16,S,0.69,0.84,0.88,0.78,0.83,0.93,0.91,0.8,0.74,0.8,0.89,0.91,,0.88,,0.76,0.79,0.9,,2,5,5,5,5,5,5,5,5,5,5,4,,6,,3,2,3,5,
1,I,0.99,0.96,1,1,0.96,0.99,1,1,0.99,0.99,1,0.99,1,1,1,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2,I,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
3,I,0.99,0.99,0.99,1,1,1,1,1,0.99,0.97,0.96,1,1,0.99,1,1,1,1,,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,
4,I,0.96,0.93,1,0.99,0.99,0.97,1,0.99,1,0.99,1,0.99,1,1,1,0.99,0.99,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
5,I,1,0.99,,0.99,1,0.99,1,0.97,0.89,0.99,0.98,0.99,1,1,1,1,1,0.99,1,2,2,3,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,
6,I,1,0.97,,1,0.99,0.97,1,1,0.97,0.99,0.97,0.97,,1,1,1,0.99,0.97,,2,2,3,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,
7,I,,0.86,0.93,1,1,0.96,,0.94,0.95,0.99,0.99,0.98,,0.96,,0.89,1,0.8,0.92,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,
8,I,0.95,,0.99,1,0.98,0.98,1,1,0.91,0.88,0.88,0.94,0.98,0.98,0.99,,0.97,0.87,0.94,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,
9,I,0.98,0.9,0.98,1,0.99,1,0.99,0.99,0.94,0.95,0.97,0.82,0.94,1,0.99,0.93,0.99,0.87,0.95,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,
10,I,0.86,0.97,0.99,0.99,0.85,0.97,1,0.94,0.93,0.98,,0.93,0.97,0.96,1,0.82,0.95,0.8,0.85,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,
11,I,0.98,0.83,0.98,0.98,0.9,0.98,0.97,0.91,0.83,0.86,0.93,0.78,0.98,0.96,0.98,0.82,,,0.88,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,
12,I,0.97,0.81,0.97,0.98,0.88,0.98,1,0.95,0.87,0.85,0.96,0.87,1,0.96,0.99,0.87,,0.77,0.93,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,
13,I,0.99,0.82,0.96,0.98,0.63,0.96,0.98,0.95,0.84,0.94,0.96,0.79,0.96,0.82,,0.66,,0.85,0.68,4,4,5,5,5,5,4,5,5,5,5,5,5,5,,5,4,4,5,
14,I,0.64,0.65,0.96,0.98,0.55,0.96,0.97,0.95,0.38,0.58,0.82,0.29,0.96,0.91,,0.65,0.95,0.58,0.67,5,5,5,5,5,5,5,5,6,6,6,6,5,5,,5,4,5,5,
15,I,0.88,0.76,,0.98,0.68,0.95,0.96,0.98,0.38,0.59,0.84,0.35,0.95,0.85,,0.74,0.95,0.76,0.85,5,5,5,5,5,5,5,5,6,6,6,6,5,5,,5,4,5,5,
16,I,0.93,0.75,0.97,0.45,0.66,0.54,0.98,0.63,,,,,,0.48,,0.42,0.82,0.6,,5,5,5,6,5,6,5,6,,,,,,6,,5,5,5,,
